,hist,ensmean,ens5th,ens25th,ens75th,ens95th
29/11/2022,0.898979127,NA,NA,NA,NA,NA
30/11/2022,0.118938491,NA,NA,NA,NA,NA
1/12/2022,NA,NA,NA,NA,NA,NA
2/12/2022,NA,NA,NA,NA,NA,NA
3/12/2022,NA,NA,NA,NA,NA,NA
4/12/2022,0.119332209,NA,NA,NA,NA,NA
5/12/2022,0.316224277,NA,NA,NA,NA,NA
6/12/2022,13.26928329,NA,NA,NA,NA,NA
7/12/2022,1.487327814,NA,NA,NA,NA,NA
8/12/2022,1.631431341,NA,NA,NA,NA,NA
9/12/2022,5.471969604,NA,NA,NA,NA,NA
10/12/2022,6.324122429,NA,NA,NA,NA,NA
11/12/2022,3.072589159,NA,NA,NA,NA,NA
12/12/2022,2.735387087,NA,NA,NA,NA,NA
13/12/2022,0.346832901,NA,NA,NA,NA,NA
14/12/2022,1.760776401,NA,NA,NA,NA,NA
15/12/2022,4.184856415,NA,NA,NA,NA,NA
16/12/2022,4.859883308,NA,NA,NA,NA,NA
17/12/2022,6.676179886,NA,NA,NA,NA,NA
18/12/2022,8.81491375,NA,NA,NA,NA,NA
19/12/2022,1.931985021,NA,NA,NA,NA,NA
20/12/2022,0.379347831,NA,NA,NA,NA,NA
21/12/2022,0.319088906,NA,NA,NA,NA,NA
22/12/2022,NA,NA,NA,NA,NA,NA
23/12/2022,NA,NA,NA,NA,NA,NA
24/12/2022,NA,NA,NA,NA,NA,NA
25/12/2022,NA,NA,NA,NA,NA,NA
26/12/2022,NA,NA,NA,NA,NA,NA
27/12/2022,NA,NA,NA,NA,NA,NA
28/12/2022,NA,NA,NA,NA,NA,NA
29/12/2022,NA,NA,NA,NA,NA,NA
30/12/2022,3.527310848,NA,NA,NA,NA,NA
31/12/2022,3.553557158,NA,NA,NA,NA,NA
1/1/2023,7.148432732,NA,NA,NA,NA,NA
2/1/2023,4.986515045,NA,NA,NA,NA,NA
3/1/2023,7.26940012,NA,NA,NA,NA,NA
4/1/2023,8.773007393,NA,NA,NA,NA,NA
5/1/2023,2.56451416,NA,NA,NA,NA,NA
6/1/2023,28.28992081,NA,NA,NA,NA,NA
7/1/2023,10.01614475,NA,NA,NA,NA,NA
8/1/2023,0.968172491,NA,NA,NA,NA,NA
9/1/2023,4.208212376,NA,NA,NA,NA,NA
10/1/2023,5.649990082,NA,NA,NA,NA,NA
11/1/2023,0.200793087,NA,NA,NA,NA,NA
12/1/2023,NA,NA,NA,NA,NA,NA
13/1/2023,0.445339203,NA,NA,NA,NA,NA
14/1/2023,1.019845724,NA,NA,NA,NA,NA
15/1/2023,1.172295213,NA,NA,NA,NA,NA
16/1/2023,3.415311337,NA,NA,NA,NA,NA
17/1/2023,4.916719913,NA,NA,NA,NA,NA
18/1/2023,6.411737919,NA,NA,NA,NA,NA
19/1/2023,5.509363174,NA,NA,NA,NA,NA
20/1/2023,11.02928829,NA,NA,NA,NA,NA
21/1/2023,2.914935589,NA,NA,NA,NA,NA
22/1/2023,11.84327698,NA,NA,NA,NA,NA
23/1/2023,9.939777374,NA,NA,NA,NA,NA
24/1/2023,13.23060226,NA,NA,NA,NA,NA
25/1/2023,2.801983833,NA,NA,NA,NA,NA
26/1/2023,1.792550445,NA,NA,NA,NA,NA
